"Read Details","Leia os Detalhes"
"Mark as Read","Marcar como lido"
"Are you sure?","Tem certeza?"
Remove,Remover
"Messages Inbox","Mensagens da Caixa de entrada"
"You have %1 new system messages","Você tem %1 novas mensagens do sistema"
"You have %1 new system message","Você tem %1 novas mensagens do sistema"
"Incoming Message","Mensagem Recebida"
close,fechar
"Read details","Leia os Detalhes"
Notifications,Notificações
"The message has been marked as Read.","A mensagem foi marcada como lida."
"We couldn't mark the notification as Read because of an error.","We couldn't mark the notification as Read because of an error."
"Please select messages.","Please select messages."
"A total of %1 record(s) have been marked as Read.","A total of %1 record(s) have been marked as Read."
"The message has been removed.","The message has been removed."
"We couldn't remove the messages because of an error.","We couldn't remove the messages because of an error."
"Total of %1 record(s) have been removed.","Total of %1 record(s) have been removed."
"1 Hour","1 Hour"
"2 Hours","2 Hours"
"6 Hours","6 Hours"
"12 Hours","12 Hours"
"24 Hours","24 Hours"
critical,critical
major,major
minor,minor
notice,notice
"Wrong message type","Wrong message type"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%1"">configuration</a>."
"One or more of the Cache Types are invalidated: %1. ","Um ou mais caches estão inválidos: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Vá em <a href=""%1"">Gerenciamento de Cache</a> e atualize-os."
"One or more media files failed to be synchronized during the media storages synchronization process. Refer to the log file for details.","One or more media files failed to be synchronized during the media storages synchronization process. Refer to the log file for details."
"Synchronization of media storages has been completed.","Synchronization of media storages has been completed."
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.","Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider."
"We appreciate our merchants' feedback. Please <a href=""#"" data-mage-init=%1>take our survey</a> and tell us about features you'd like to see in Magento.","We appreciate our merchants' feedback. Please <a href=""#"" data-mage-init=%1>take our survey</a> and tell us about features you'd like to see in Magento."
"Close popup","Close popup"
Close,Close
"Critical System Messages","Mensagens Críticas"
"Major System Messages","Mensagens Prioritárias"
"System messages","Mensagens do sistema"
"System Messages","Mensagens do sistema"
"System messages:","Mensagens do sistema:"
"System Messages:","Mensagens do sistema:"
Notification,Notificações
Acknowledge,Acknowledge
"See All (%1 unread)","See All (%1 unread)"
Message,Mensagem
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"
"Update Frequency","Update Frequency"
"Last Update","Last Update"
Severity,Severity
"Date Added","Date Added"