"We can't find posts matching the selection.","Nenhum post ainda."
"Add New Post","Novo"
"Manage Post","Gerenciar Posts"
"Post Title","Título"
"Featured Image","Imagem Destacada"
"Publish At","Publicado Em"
"Add New Category","Novo"
"Manage Category","Gerenciar Categorias"
"Posts has been saved.","Salvo com sucesso"
"Posted:","Data:"
"Categories:","Categorias:"
"Read more &#187;","Leia mais &#187;"
"Post Information","Informações do Post"
"Related Posts","Posts Relacionados"
"Category Information","Informações da Categoria"
"Relative to Web Site Base URL","Exemplo: 'meu-post' para 'http://dominio.com.br/meu-post'"
"Categories have been deleted.","Excluído com sucesso"
"Posts have been deleted.","Excluído com sucesso"