"Delete File","Delete File"
Status,Status
Title,Title
Home,Home
Content,Conteúdo
"Go to Home Page","Go to Home Page"
px.,px.
"Static Blocks","Blocos Estáticos"
"Add New Block","Novo"
"Save Block","Salvar"
"Delete Block","Excluir"
"Edit Block '%1'","Editar '%1'"
"New Block","Novo"
"Block Title","Título do Bloco"
Identifier,Identificador
"Manage Pages","Gerenciar Páginas"
"Add New Page","Novo"
"Save Page","Salvar"
"Delete Page","Excluir"
"Edit Page '%1'","Editar Página '%1'"
"New Page","Nova Página"
"Content Heading","Cabeçalho"
Layout,Layout
"Layout Update XML","Layout Update XML"
"Custom Design From","Ativo a partir de"
"Custom Design To","Ativo até"
"Custom Layout Update XML","Ajuste de Layout"
Design,Design
"Page Information","Page Information"
"Relative to Website Base URL","Relative to Website Base URL"
"Page Status","Page Status"
"Meta Data","Meta Data"
Keywords,Keywords
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
Created,Criado
Created:,Criado:
Modified,Modificado
Preview,Visualizar
"Media Storage","Media Storage"
"Create Folder...","Criar Pasta"
"Delete Folder","Delete Folder"
"Insert File","Insert File"
"New Folder Name:","New Folder Name:"
"Are you sure you want to delete this folder?","Are you sure you want to delete this folder?"
"Are you sure you want to delete this file?","Are you sure you want to delete this file?"
"Images (%1)","Images (%1)"
"Storage Root","Storage Root"
CMS,CMS
Blocks,Blocos
"This block no longer exists.","This block no longer exists."
"Edit Block","Edit Block"
"The block has been saved.","The block has been saved."
"The block has been deleted.","The block has been deleted."
"We can't find a block to delete.","We can't find a block to delete."
Pages,Página
"This page no longer exists.","This page no longer exists."
"Edit Page","Edit Page"
"The page has been saved.","The page has been saved."
"Something went wrong while saving the page.","Something went wrong while saving the page."
"The page has been deleted.","Excluído com sucesso"
"We can't find a page to delete.","We can't find a page to delete."
"The directory %1 is not writable by server.","The directory %1 is not writable by server."
"Make sure that static block content does not reference the block itself.","Make sure that static block content does not reference the block itself."
"Enabled by Default","Enabled by Default"
"Disabled by Default","Disabled by Default"
"Disabled Completely","Disabled Completely"
"A block identifier with the same properties already exists in the selected store.","A block identifier with the same properties already exists in the selected store."
"A page URL key for specified store already exists.","A page URL key for specified store already exists."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please correct the folder name. Use only letters, numbers, underscores and dashes.","Please correct the folder name. Use only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","We found a directory with the same name. Please try another folder name."
"We cannot create a new directory.","We cannot create a new directory."
"We cannot delete directory %1.","We cannot delete directory %1."
"We cannot upload the file.","We cannot upload the file."
"We cannot delete root directory %1.","We cannot delete root directory %1."
"Directory %1 is not under storage root path.","Directory %1 is not under storage root path."
"No files found","No files found"
Block,Bloco
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"CMS Home Page","Home Page"
"CMS No Route Page","CMS No Route Page"
"CMS No Cookies Page","CMS No Cookies Page"
"CMS Pages (All)","Todas as Páginas"
"Contact Us Form","Página de Contato"
"Show Breadcrumbs for CMS Pages","Show Breadcrumbs for CMS Pages"
"Browser Capabilities Detection","Browser Capabilities Detection"
"Redirect to CMS-page if Cookies are Disabled","Redirect to CMS-page if Cookies are Disabled"
"Show Notice if JavaScript is Disabled","Show Notice if JavaScript is Disabled"
"Show Notice if Local Storage is Disabled","Show Notice if Local Storage is Disabled"
"Content Management","Gerenciamento de Conteúdo"
"WYSIWYG Options","WYSIWYG Options"
"Enable WYSIWYG Editor","Enable WYSIWYG Editor"
"CMS Page Link","Link para Página de Conteúdo"
"CMS Static Block","Bloco de Conteúdo"
"Link to a CMS Page","Link to a CMS Page"
"CMS Page","CMS Page"
"If empty, the Page Title will be used","If empty, the Page Title will be used"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"Contents of a Static Block","Contents of a Static Block"
"CMS Static Block Default Template","CMS Static Block Default Template"
Elements,Elementos
Blocks,Blocos
Widgets,Widgets
Themes,Temas
Schedule,Agendamento
"Search Engine Optimisation","SEO"
"Custom Design Update","Agendamento de Mudança de Layout"
"Enable Page","Habilitar"
"Page in Websites","Websites"
"You saved the page.","Salvo com sucesso."