"Remove This Item","Remove This Item"
"Clear All","Limpar todos"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Só funciona se o tipo do atributo for Dropdown, Seleção Multipla ou Preço"
"Filterable (with results)","Filtrável (com resultados)"
"Filterable (no results)","Filtrável (sem resultados)"
"Use in Search Results Layered Navigation","Usar na Navegação Facetada dos Resultados de Busca"
"Swatch and Admin are the required fields in the each row.","Amostra e Admin são campos obrigatórios"
"Position in Layered Navigation","Position in Layered Navigation"
"Position of attribute in layered navigation block","Posição do atributo na navegação facetada"
"Use in Layered Navigation","Usar na Navegação Facetada"
"Currently Shopping by:","Currently Shopping by:"
"Layered Navigation","Layered Navigation"
"Display Product Count","Display Product Count"
"Price Navigation Step Calculation","Price Navigation Step Calculation"
"Default Price Navigation Step","Default Price Navigation Step"
"Maximum Number of Price Intervals","Maximum Number of Price Intervals"
"Maximum number of price intervals is 100","Maximum number of price intervals is 100"
"Display Price Interval as One Price","Display Price Interval as One Price"
"This setting will be applied when all prices in the specific price interval are equal.","This setting will be applied when all prices in the specific price interval are equal."
"Interval Division Limit","Interval Division Limit"
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
"Now Shopping by","Navegando por"