ID,ID
Apply,Aplicar
No,Não
Subtotal,Subtotal
Discount,Desconto
Uses,Usos
Delete,Deletar
Yes,Sim
"Website","Website"
Status,Status
Rule,Regra
"Start on","Começa com"
"End on","Termina com"
Active,Ativo
"This rule no longer exists.","Essa regra não existe."
Websites,Websites
"Add New Rule","Novo"
"Edit Rule '%1'","Editar Regra '%1'"
"New Rule","Nova Regra"
"Rule Information","Informações da Regra"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Rule Name","Nome da Regra"
Inactive,Inativo
"From Date","Da data"
"To Date","Até a data"
"Priority","Prioridade"
"Edit Rule","Editar Regra"
"The rule has been saved.","A regra foi salva."
"An error occurred while saving the rule data. Please review the log and try again.","Um erro ocorreu ao salvar as regras. Veja os logs e tente novamente."
"The rule has been deleted.","A regra foi removida"
"An error occurred while deleting the rule. Please review the log and try again.","Um erro ocorreu ao remover a regra. Veja os logs e tente novamente"
"Update the Product","Update the Product"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Atualizar produtos %1 %2: %3"
"Conditions Combination","Combinação de condições"
"Product Attribute","Atributo do Produto"
"Shipping Method","Método de envio"
Alphanumeric,Alfanumérico
"Apply To","Apply To"
"equals or greater than","Igual ou maior que"
"equals or less than","Igual ou menor que"
"greater than","Maior que"
"less than","Menor que"
Alphabetical,Alphabetical
Numeric,Numérico
Generate,Gerar
Auto,Auto
Coupon,Cupom
"Shopping Cart Price Rule","Regra de preco do carrinho"
"Coupon Code","Codigo do cupom"
CSV,CSV
"Excel XML","Excel XML"
"Total Weight","Peso Total"
"Discount (%1)","Desconto (%1)"
"Store View Specific Labels","Título específico para loja"
"Shopping Cart Price Rules","Regras de Carrinho"
"Update prices using the following information","Atualizar preços usando a seguinte informação"
"Percent of product price discount","Desconto sobre percentual do preço do produto"
"Fixed amount discount","Desconto fixo"
"Fixed amount discount for whole cart","Desconto fixo para todo o carrinho"
"Buy X get Y free (discount amount is Y)","Compre X ganhe Y grátis (Desconto no valor de Y)"
"Maximum Qty Discount is Applied To","Quantidade máxima de desconto aplicado"
"Discount Qty Step (Buy X)","Desconto de X"
"Apply to Shipping Amount","Aplicar ao valor do frete"
"Apply the rule only to cart items matching the following conditions ' '(leave blank for all items).","Aplicar a regra aos itens do carrinho que correspondem as seguintes condições ' '(Deixe em branco para todos os items)."
"Apply the rule only if the following conditions are met (leave blank for all products).","Aplicar a regra somente se as seguintes condições forem verdade (Deixe em branco para todos os produtos)."
"Manage Coupon Codes","Gerenciar códigos de cupons"
"Coupons Information","Informações de cupons"
"Coupon Qty","Quantidade de cupons"
"Code Length","Tamanho do código"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Code Format","Formato do código"
"Code Prefix","Prefixo do código"
"Code Suffix","Sufixo do código"
"Dash Every X Characters","Dash Every X Characters"
"If empty no separation.","If empty no separation."
"Times Used","Quantidade de vezes que foi usado"
"Are you sure you want to delete the selected coupon(s)?","Tem certeza?"
Labels,Títulos
"Default Rule Label for All Store Views","Título padrão para todas as lojas"
"Use Auto Generation","Gerar automaticamente"
"If you select and save the rule you will be able to generate multiple coupon codes.","Se você selecionar e salvar a regra poderá gerar multiplos cupons"
"Uses per Coupon","Usos por cupom"
"Uses per Customer","Usos por cliente"
"Public In RSS Feed","Mostrar no Feed"
"Cart Price Rules","Regras de Carrinho"
"New Cart Price Rule","Nova regra de carrinho"
"The wrong rule is specified.","The wrong rule is specified."
"We can't find a rule to delete.","We can't find a rule to delete."
"Rule is not defined","Rule is not defined"
"Invalid data provided","Invalid data provided"
"%1 coupon(s) have been generated.","%1 cupom(s) foi gerado."
"Something went wrong while generating coupons. Please review the log and try again.","Something went wrong while generating coupons. Please review the log and try again."
"We cannot create the requested Coupon Qty. Please check your settings and try again.","We cannot create the requested Coupon Qty. Please check your settings and try again."
"%1 Shopping Cart Price Rules based on ""%2"" attribute have been disabled.","%1 Shopping Cart Price Rules based on ""%2"" attribute have been disabled."
"Coupon with the same code","Coupon with the same code"
"No Coupon","Sem cupom"
"Specific Coupon","Cupom especifico"
"Can't acquire coupon.","Can't acquire coupon."
"Total Items Quantity","Quantidade total de items"
"Shipping Postcode","Cep de entrega"
"Shipping Region","Região de entrega"
"Shipping State/Province","Estado de entrega"
"Shipping Country","País de entrega"
"Product attribute combination","Combinação de atributos do produto"
"Products subselection","Subseleção de produtos"
"Conditions combination","Combinação de condições"
"Cart Attribute","Atributo do carrinho"
"Quantity in cart","Quantidade no carrinho"
"Price in cart","Preço do carrinho"
"Row total in cart","Row total in cart"
"Cart Item Attribute","Atributo do item no carrinho"
FOUND,ENCONTRADO
"NOT FOUND","NÃO ENCONTRADO"
"If an item is %1 in the cart with %2 of these conditions true:","If an item is %1 in the cart with %2 of these conditions true:"
"total quantity","Quantidade total"
"total amount","Valor Total"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:"
"Item totals are not set for the rule.","Item totals are not set for the rule."
"Auto Generated Specific Coupon Codes","Auto Generated Specific Coupon Codes"
"Usage limit enforced for logged in customers only.","Limite de uso aplicado apenas para clientes conectados."
"Error occurred when saving coupon: %1","Error occurred when saving coupon: %1"
"Error occurred when generating coupons: %1","Error occurred when generating coupons: %1"
"Some coupons are invalid.","Alguns cupons são invalidos"
"Specified rule does not allow automatic coupon generation","Specified rule does not allow automatic coupon generation"
"Specified rule does not allow coupons","Specified rule does not allow coupons"
"Specified rule only allows auto generated coupons","Specified rule only allows auto generated coupons"
"Specified rule does not allow auto generated coupons","Specified rule does not allow auto generated coupons"
"Currently Active", "Atualmente Ativo"
"Discount amount is applied to subtotal only", "Aplicar desconto somente no subtotal"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Aplicar a regra somente nos itens do carrinho que correspondem as seguintes condições (deixar em branco para todos os items)."